case_id,description,teaching_case_contamination
CASE-P2D-YEZI-001,Class03 p11 joint announcement screenshot,YES
CASE-P2D-YEZI-002,Class02 p23 607 announcement and figures,YES
CASE-P2D-YEZI-003,Class03 p15 timeline/table/chart page,YES
CASE-P2D-YEZI-004,Other page-level chart/table examples,UNKNOWN
