source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,29149,webb:issue:29149,01942,MOG DIGITECH,2020-04-15,2023-05-17,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29153,webb:issue:29153,03390,TYCOON GROUP,2020-04-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29154,webb:issue:29154,06063,LOTUS HORIZON,2020-04-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29155,webb:issue:29155,08616,SUNRAY ENG GP,2020-04-23,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29156,webb:issue:29156,08620,AE LOGISTICS,2020-04-20,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29176,webb:issue:29176,01953,RIMBACO,2020-04-28,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29178,webb:issue:29178,09926,AKESO,2020-04-24,2023-03-28,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29191,webb:issue:29191,01376,RAFFLESINTERIOR,2020-05-07,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29196,webb:issue:29196,01147,EDENSOFT,2020-05-13,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29201,webb:issue:29201,01936,RITAMIX,2020-05-13,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29205,webb:issue:29205,08496,GLOBAL UIN,2020-05-18,2022-12-29,EXACT,webbsite_full.sqlite/shortnames,3
webb_ccass,29208,webb:issue:29208,09983,CC NEW LIFE,2020-05-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29216,webb:issue:29216,09996,PEIJIA-B,2020-05-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29240,webb:issue:29240,07266,FL2CSOPNASDAQ,2020-05-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29241,webb:issue:29241,09939,KINTOR PHARMA-B,2020-05-22,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29246,webb:issue:29246,09923,YEAHKA,2020-06-01,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29247,webb:issue:29247,01645,HAINA INTEL,2020-06-03,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29260,webb:issue:29260,07299,FL2CSOPGOLD,2020-06-05,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29261,webb:issue:29261,09866,NIO-SW,2022-03-10,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29270,webb:issue:29270,09987,YUM CHINA,2020-09-10,2022-10-24,EXACT,webbsite_full.sqlite/shortnames,2
webb_ccass,29282,webb:issue:29282,09812,SAMSUNGCDGN-U,2020-06-16,,EXACT,webbsite_full.sqlite/shortnames,1
