issue_id,part_id,change_date,absolute_holding,source_rowid,security_name,participant_name,previous_change_date,previous_absolute_holding,next_change_date,next_absolute_holding,forensic_classification,safe_automatic_disposition
25453,62,2025-04-17,-500,205974458,YIXIN,FAIR EAGLE SECURITIES CO LTD,2025-04-15,0,2025-04-25,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
25800,70,2018-03-05,-1295800,206990227,XINGHUA PORT,MORGAN STANLEY HONG KONG SECURITIES LTD,2018-03-02,29765,2018-03-06,29765,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
26,366,2016-11-09,-653,2943984,HYSAN DEV,PROMISING SECURITIES CO LTD,2016-11-03,4347,2016-11-10,4347,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
26467,102,2018-06-06,-5000,208522025,NICHE-TECH SEMI,CELETIO INVESTMENTS LTD,2018-06-04,0,2018-06-08,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2665,366,2010-02-26,-20000,76513170,CENTURY GINWA,PROMISING SECURITIES CO LTD,2010-02-23,10000,2010-03-01,10000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
26953,155,2022-06-10,-200000,211929980,SHING CHI HLDGS,VICTORY SECURITIES CO LTD,2022-06-07,44000,2022-06-14,12000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2699,77,2009-03-17,-955000,76949189,CAPITAL REALM,SOUTH CHINA SECURITIES LTD,2009-03-13,45000,2009-03-18,-755000,NEGATIVE_RUN_START,NONE
2699,77,2009-03-18,-755000,76949190,CAPITAL REALM,SOUTH CHINA SECURITIES LTD,2009-03-17,-955000,2009-03-19,245000,REPEATED_NEGATIVE_RUN,NONE
27,192,2009-12-01,-13140,3153973,BANK OF E ASIA,ORIENTAL PATRON SECURITIES LTD,2009-11-30,10860,2009-12-03,8860,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2720,298,2011-04-08,-76000,77150241,CITY COOLXU-OLD,FULBRIGHT SECURITIES LTD,2011-03-31,50000,2011-04-12,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2747,187,2010-06-17,-400000,77995588,ETERNITY INV,GOLDRIDE SECURITIES LTD,2010-06-07,968110,2010-06-21,868110,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
27922,423,2019-12-23,-1916400,214943436,DUIBA,GF SECURITIES (HONG KONG) BROKERAGE LTD,2019-12-20,16304400,2019-12-24,16083600,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
27922,423,2019-12-31,-3907200,214943440,DUIBA,GF SECURITIES (HONG KONG) BROKERAGE LTD,2019-12-30,14092800,2020-01-02,14092800,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2857,267,2015-04-08,-2344108,80758571,AOM INT'L,ENLIGHTEN SECURITIES LTD,2015-04-02,72655892,2015-04-09,70755892,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
29903,114,2021-01-19,-2000,222496638,CGII HLDGS,CHRISTFUND SECURITIES LTD,2021-01-08,0,2021-01-20,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
30432,119,2021-02-03,-1000,223962936,STRAWBEAR ENT,FAIRWIN BROKING LTD,2021-01-19,0,2021-02-05,2000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
30578,380,2021-03-08,-500,224555658,NH HEALTH,LEE'S SECURITIES CO LTD (IN LIQUIDATION),2021-02-26,0,2021-03-09,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3072,291,2010-07-23,-20000,85389118,MOISELLE INT'L,WINSOME STOCK CO LTD,2010-07-22,80000,2010-07-27,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
309,298,2010-01-29,-40000,17228924,PAK FAH YEOW,FULBRIGHT SECURITIES LTD,2010-01-26,0,2010-02-02,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3142,88,2012-03-02,-500000,87817811,WATER OASIS GP,TUNG TAK SECURITIES (H.K.) CO LTD,2012-02-28,0,2012-03-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3371,292,2014-10-16,-243739,94032728,SAU SAN TONG,GLORY SUN SECURITIES LTD,2014-10-03,60263,2014-10-17,60263,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
344,1210,2015-03-26,-2051,18181365,MATRIX HOLDINGS,SOOCHOW SECURITIES INTERNATIONAL,2015-03-20,0,2015-03-30,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
34915,108,2025-10-24,-30624000,228547890,ZHONGSHENJIANYE,UOB KAY HIAN (HONG KONG) LTD,2025-10-23,40056000,2025-10-27,92928000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3510,194,2009-06-08,-20000,104847210,HKC INT'L HOLD,KARL-THOMSON SECURITIES CO LTD,2009-06-05,0,2009-06-09,-20000,NEGATIVE_RUN_START,NONE
3510,194,2009-06-09,-20000,104847211,HKC INT'L HOLD,KARL-THOMSON SECURITIES CO LTD,2009-06-08,-20000,2009-07-15,0,REPEATED_NEGATIVE_RUN,NONE
35305,83,2024-06-24,-547000,228882231,XTALPI,GET NICE SECURITIES LTD,2024-06-17,4254350,2024-07-03,29000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3550,353,2011-01-03,-12000,105274404,SHANDONG MOLONG,TANG KEE SECURITIES LTD,2010-12-28,0,2011-01-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
3553,184,2010-10-26,-500,105414834,LIFESTYLE INT'L,AUDREY CHOW SECURITIES LTD,,,2010-11-03,0,NEGATIVE_FIRST_OBSERVATION,NONE
37,366,2016-06-29,-10365,3532217,GREAT EAGLE H,PROMISING SECURITIES CO LTD,2016-06-24,10635,2016-06-30,2635,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
37,366,2017-06-06,-1365,3532252,GREAT EAGLE H,PROMISING SECURITIES CO LTD,2017-06-01,6635,2017-06-08,635,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
379,111,2015-06-03,-90000,22018325,CSC HOLDINGS,JOSPA INVESTMENT CO LTD,2015-05-29,146876,2015-06-04,146876,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
392,78,2016-10-04,-2000,22511243,AEON CREDIT,SPS SECURITIES LTD,2016-09-30,0,2016-10-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
402,37,2012-09-10,-2000,22725961,ASIA SATELLITE,QUAM SECURITIES LTD,2012-07-24,0,2012-09-12,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
4398,1077,2021-09-03,-417806,109435238,CEB WATER,BNP PARIBAS,2021-09-02,833399,2021-09-06,271501,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
4711,119,2017-12-07,-10000,122684156,CNBM,FAIRWIN BROKING LTD,2017-11-24,6000,2017-12-08,6000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
4728,199,2009-05-21,-2144,123335921,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-19,1200,2009-05-22,-2144,NEGATIVE_RUN_START,NONE
4728,199,2009-05-22,-2144,123335922,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-21,-2144,2009-05-25,-2144,REPEATED_NEGATIVE_RUN,NONE
4728,199,2009-05-25,-2144,123335923,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-22,-2144,2009-05-26,-2144,REPEATED_NEGATIVE_RUN,NONE
4728,199,2009-05-26,-2144,123335924,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-25,-2144,2009-05-27,-2144,REPEATED_NEGATIVE_RUN,NONE
4728,199,2009-05-27,-2144,123335925,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-26,-2144,2009-05-29,-2144,REPEATED_NEGATIVE_RUN,NONE
4728,199,2009-05-29,-2144,123335926,SHK CO W0905,EVER-LONG SECURITIES CO LTD,2009-05-27,-2144,,,REPEATED_NEGATIVE_RUN,NONE
4775,231,2010-01-19,-1000,127215586,GREENLAND HK,MASTER TRADEMORE SECURITIES LTD,2009-07-29,0,2010-01-21,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
4787,78,2008-10-31,-197120,128578700,KB LAMINATES,SPS SECURITIES LTD,2008-10-30,191500,2008-11-03,191500,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
5056,90,2009-03-05,-5000,148948585,STRONG PETRO,LUEN FAT SECURITIES CO LTD,2009-02-27,0,2009-05-08,17000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
54,312,2009-05-08,-56532,5924268,KANTONE HOLDING,HANTEC SECURITIES CO LTD,2009-05-07,3468,2009-05-11,363492,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
5462,131,2012-05-08,-2000,154387103,TRINITY,WIN WONG SECURITIES LTD,2012-03-13,0,2012-05-09,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
