source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,39,B01192,ccass:B01192,SEEKERS MARKETS LTD (IN LIQUIDATION),2024-05-02,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,40,B01198,ccass:B01198,PO KAY SECURITIES & SHARES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,41,B01199,ccass:B01199,HANG TUNG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,42,B01207,ccass:B01207,SHAREGAIN DEVELOPMENT LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,43,B01209,ccass:B01209,MASON SECURITIES LTD,2016-04-26,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,44,B01212,ccass:B01212,HENYEP SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,45,B01213,ccass:B01213,MONEYMORE SECURITIES LTD,2024-12-13,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,46,B01217,ccass:B01217,TAIPING SECURITIES (HK) CO LTD,2009-08-17,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,47,B01220,ccass:B01220,WING ON CHEONG SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,48,B01224,ccass:B01224,MERRILL LYNCH FAR EAST LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,49,B01227,ccass:B01227,HOORAY SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,50,B01228,ccass:B01228,CITIC SECURITIES BROKERAGE (HK) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
